"FACILITYID","BUSINESS_NAME","ADDR","CITY","CATEGORY","SUBCATEGORY"
"D41F0901-B5AE-4DC2-9F2D-51A32CD19824","UW - BRIGHT STARTS CO-OPERATIVE EARLY LEARNING CENTRE INC.","200 UNIVERSITY AVE W","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"F9D944B7-870F-4C60-B3F3-5299D6458797","OWL CHILD CARE SERVICES-ST. NICHOLAS","525 LAURELWOOD DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"E62BA756-F0C5-40E9-9075-5553ED9ED89D","EDITH MACINTOSH CHILDREN'S CENTRE","104 STIRLING AVE S","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"927DBBDE-AC59-4175-9077-59750F71224A","MOPPET PARENT PARTICIPATING PRESCHOOL","171 FREDERICK ST","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"900671A7-B738-4AC4-AABF-5FBDB8E5D4D9","YWCA BRIDGEPORT CHILD CARE","8 BRIDGE ST E","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"6DBD72D5-6739-48D6-A70C-6425557173B2","JACOB HESPELER CHILD CARE","100 WEAVER ST","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"48BE837D-728A-4F56-8EA8-652254A360FA","YWCA JEAN STECKLE CHILDCARE CENTRE","130 WOODBINE AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"FEBC2DBF-CECF-48AE-9EAF-65886DDCA6EA","VICTORIA LEARNING CENTRE","592 VICTORIA ST S","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"688C97E0-2F5D-4B76-A2B6-67F111C62755","OWL CHILD CARE SERVICES-LINCOLN","145 LINCOLN RD","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"01B603FB-6051-4E23-8A76-688667680833","CHILD CARE PLUS","14 JANSEN AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"110E1BFC-5626-4478-B967-68F05E0D205B","ALEXANDRA DAY NURSERY","68 ALEXANDRA AVE","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"F28E491A-DFDF-41AD-8886-690E309A0E26","YWCA CITY KIDS DAY CARE","111 DUKE ST W","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"94F2F6EA-18C6-4CB5-A514-6A6AB2DEE42B","SUNNY DAY CARE","2209 KINGSWAY DR","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"4A1173E5-7679-4934-9488-6CFE510D0DE0","BRASON ACADEMY MONTESSORI SCHOOL","1 GROH AVE","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"D13CBF26-24CB-4B71-805A-6E894E342E37","CREATIVE BEGINNINGS DAY CARE","155 LIVINGSTON BLVD","BADEN","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"8CF556E2-7D8D-4558-84F5-6FD336BF4DFE","ESL ST. LOUIS LINC DAY CARE","80 YOUNG ST","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"0EE376D8-81C3-4725-BB5D-76E496632214","YWCA RYERSON CHILD CARE CENTRE","749 GRAND VALLEY DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"DB330153-3F9F-4642-9D4B-772A83597064","BUTTERFLY LEARNING CENTRE","30 BATHURST DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"10C4E203-7393-4BE1-BD24-77A86344B676","CREATIVE BEGINNINGS CHILD CARE CENTRE - BADEN","1140 SNYDER'S RD W","WILMOT","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"2070ED1C-B562-4CB8-BC5C-7871ADF598FB","ST. FRANCIS LINC PRESCHOOL","154 GATEWOOD RD","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"905D70DB-1F17-480B-A76C-7CE087C0F92B","OWL CHILD CARE SERVICES-  POPE JOHN PAUL II","75 PEBBLECREEK DR","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"2B6CC5F9-1D98-41A6-AA25-7EEBF8BEC7C8","WESTVALE CHILD CARE CENTRE","265 WESTVALE DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"883144D7-998A-4289-AA60-80D789DC9469","YMCA CHILD CARE -GROH PUBLIC SCHOOL","225 THOMAS SLEE DR","Kitchener","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"D756564C-B228-42E7-9CEC-82D3B6BB23BE","PLUTO DAY CARE-ACTIVA","192 ACTIVA AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"7C377564-BD30-41A3-90F8-864F324AAB0A","CHRISTOPHER CHILDREN'S CENTRE","30 CHRISTOPHER DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"C953495A-B444-46E2-BC8B-88FE28921D9E","PLUTO DAY CARE - KING","3 - 435 KING ST N","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"370BC300-D5AC-435B-837F-89E17B15A8DB","TRILLIUM BILINGUAL MONTESSORI SCHOOL","888 TRILLIUM DR","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"C44F480A-151F-4BE1-BCAD-8C025A006ADB","PLUTO DAY CARE CENTRE-CAMBRIDGE","25 BROOK ST","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"78B6229F-A8A6-43A9-BA14-8FF4AB10BDBC","ENGLISH AT FIRST","16 WILLIAM ST W","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"AC04B1A7-2158-41F3-BA2F-906C1666AEBB","OPEN SESAME PRESCHOOL","29 WESTMOUNT RD S","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"C1470ECB-57EB-4DCE-B26E-92144C43A92E","ELMIRA COMMUNITY NURSERY SCHOOL","250 WILLIAM ST","ELMIRA","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"69EA8796-C800-47AA-872C-952EBA3BA432","LA GARDERIE DES LUTINS DE KITCHENER","345 THE COUNTRY WAY","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"9A2C00BA-E6CD-470E-A210-9A53C0265068","EDNA STAEBLER YMCA CHILDCARE","450 BERNAY DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"9197392B-9993-4A5C-8D16-A099C1178415","LITTLE CHAMPS ACADEMY OF LEARNING","24 WESTMOUNT RD W","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"E1E8C40D-5602-4A9D-8449-A1473B50C5C2","YMCA JUST FOR KIDS - KITCHEN","485 THORNDALE DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"3C5CD4FB-E4A0-4F27-923F-A337451DA6B7","WILMOT FAMILY RESOURCE CENTRE DROP IN CHILD CARE CENTRE","1 - 175 WATERLOO ST","NEW HAMBURG","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"2702A207-252F-469D-A31C-A4A2AA101EB6","EMMANUEL AT BRIGHTON DAY CARE","65 NOECKER ST","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"F789BDDD-1B53-42D8-92C6-A8D0A964C776","ELMIRA CHILDREN'S CENTRE","250 WILLIAM ST","ELMIRA","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"4F7F2729-4803-4512-A821-AA6B0F547372","MILLEN WOODS CHILD CARE CENTRE","640 NEW HAMPSHIRE ST","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"7F509ED7-3F3F-4EAD-A6DA-AD42F7E06929","CONESTOGA COLLEGE DAY CARE - DOON","299 DOON VALLEY DR","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"13B1D88B-247D-4749-B841-B84C06B78697","MOFFAT CREEK YMCA CHILD CARE","710 MYERS RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"BB0243A6-09BA-4D22-83C4-BBD38525BE2B","LA PETITE ECOLE FRANCOPHONE","158 BRIDGEPORT RD E","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"0C15BF18-F9CB-4CB0-808D-BD2F43C92735","YMCA STEPPING STONES CHILD CARE","177 BISMARK DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"692F548F-BEE1-4146-82DD-BFCFFB6E2956","OWL CHILD CARE SERVICES-ST. MATTHEW","405 PASTERN TRAIL","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"860A8807-ED0C-4058-82C6-C397879C8E14","OWL CHILD CARE SERVICES-ST. LUKE'S","550 CHESAPEAKE DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"C3FB612E-2D9C-4858-850F-C9996527AD2A","YMCA SCHOOL AGE YOUTH DEVELOPMENT -  HIGHLAND PUBLIC SCHOOL","125 SALISBURY AVE","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"5B892FA1-F79C-441F-BBBE-CDD67FD51EB5","NEW HAMBURG CO-OP PRESCHOOL","3433 HURON RD","NEW HAMBURG","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"B28FAEA7-6C16-46A1-ACC9-CECDE1D62F80","STANLEY PARK ROSEMOUNT PRESCHOOL","171 SHERWOOD AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"95AD2004-932A-46FF-9FE1-CFC4D13DE50F","KINSMEN CHILDREN'S CENTRE","651 CONCESSION RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"552204A8-BE58-467C-AD60-D5FF108CBA76","CAMBRIDGE CHILDREN'S CENTRE","99 BEECHWOOD RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"965FA77F-8A9E-486B-8EBD-DA5008705B1D","STANLEY'S PRESCHOOL","9 CONWAY DR","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"AF10F14D-0600-40DF-8D2D-DF885D5839CD","OWL CHILD CARE SERVICES-JOHN SWEENEY","185 ACTIVA AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"466765B4-72DF-4B10-BCDD-E1583C43C255","YWCA ST. PAUL CHILDCARE CENTRE","45 BIRCHCLIFF AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"F06EE0A1-8535-4FC2-90B0-E41E9176056E","EDUKIDS","499 HESPELER RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"32F50D0E-AA22-4FA6-B7D0-E612D9ECFE03","SAGINAW CHILD CARE","740 SAGINAW PKY","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"DAAB2EDA-3938-451C-9DB5-E671A45D193C","SILVERHEIGHTS DAY CARE (CONESTOGA COLLEGE)","390 SCOTT RD","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"551CE304-894C-4086-980F-EBC151018ADE","YWCA CHILD CARE CENTRE-KING WEST","800 KING STREET WEST","Kitchener","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"0F2B6E8D-B382-409E-A62B-EE001682845A","PEEKABOO CHILD CARE (CAMBRIDGE)","460 SHELDON DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"426C5C74-2529-427D-A855-F1F0956BA4A8","ELITE DAYCARE","445 THOMPSON DR","CAMBRIDGE","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"6D1091A7-7D34-438B-B6F0-F2B93DC72CE0","ST. JOHN'S CHRISTIAN NURSERY SCHOOL","22 WILLOW ST","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"7F6B68E0-5899-4585-8347-F4C4FCC0CB12","INSPIRING MINDS EARLY LEARNING CENTRE","1129 HENRY ST","WELLESLEY","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"B35A48BF-205A-4921-B18F-FAE3CA336AB3","LAKESHORE CO-OP NURSERY SCHOOL","315 NORTHLAKE DR","WATERLOO","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"C1F665DB-F960-47C0-AB00-FCE26EDAE537","MAC MGS PRESCHOOL AND CHILDCARE CENTRE","160 COURTLAND AVE","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"0A1EA523-073D-42E1-B7E9-FED6E4AAB2DD","SPOTS FOR TOTS","80 YOUNG ST","KITCHENER","Food, Institutional","Child Care Onsite Prep./Recreational Camp/Co-op"
"9BA4ACE3-77C3-40B7-9D0B-13663736CFDB","WESTHILL, THE","25 WESTHILL DR","WATERLOO","Food, Institutional","Retirement Home"
"321692A8-B121-4360-AB32-1720A504D25A","TERRACE ON THE SQUARE","100 CAROLINE ST S","WATERLOO","Food, Institutional","Retirement Home"
"B89D7664-D5DE-487E-8F07-2F17F740B1F6","HERITAGE HOUSE","54 EBY ST","ST. JACOBS","Food, Institutional","Retirement Home"
"D2D79E36-5396-4D2E-BABD-457D2FDBF02B","PARKWOOD MENNONITE RETIREMENT RESIDENCE","720 NEW HAMPSHIRE ST","WATERLOO","Food, Institutional","Retirement Home"
"B77FC115-9D1D-42C7-A28C-46E6ACCEE17E","WATERLOO HEIGHTS RETIREMENT APARTMENTS","170 ERB ST W","WATERLOO","Food, Institutional","Retirement Home"
"DE6C9854-5709-4DF0-AACC-4C9E2ACDF36F","CHARTWELL WESTMOUNT RETIREMENT RESIDENCE","190 DAVID BERGEY DR","KITCHENER","Food, Institutional","Retirement Home"
"28674BB4-223C-4037-8409-4D838C10C65B","FERGUS PLACE","164 FERGUS AVE","Kitchener","Food, Institutional","Retirement Home"
"2579145B-9531-4578-83BE-5063D86AFDF1","CLAIR HILLS RETIREMENT COMMUNITY","530 COLUMBIA ST W","WATERLOO","Food, Institutional","Retirement Home"
"DB135BDA-EE1D-4047-92F9-51DC139EC6CC","TRINITY VILLAGE CARE CENTRE","2727 KINGSWAY DR","KITCHENER","Food, Institutional","Retirement Home"
"68CC6277-A373-43B7-A793-650ECA05DD1A","BRIARFIELD GARDENS RETIREMENT RESIDENCE","1250 WEBER ST E","KITCHENER","Food, Institutional","Retirement Home"
"1B4439C5-DBFB-40F7-B1F0-768F97E64A7E","COLUMBIA FOREST LONG TERM CARE CENTRE","650 MOUNTAIN MAPLE AVE","WATERLOO","Food, Institutional","Retirement Home"
"017F0A64-5033-4F7B-BD4D-7C56242D61AD","THE WESTMOUNT LONG TERM CARE RESIDENCE","200 DAVID BERGEY DR","KITCHENER","Food, Institutional","Retirement Home"
"550F7594-5B96-4BE3-B20B-7CE36415AF45","ST. JACOB'S PLACE","10 WATER ST","ST. JACOBS","Food, Institutional","Retirement Home"
"F11D470A-C572-47FF-9DEA-7E89DF52CB08","TRINITY VILLAGE STUDIOS","2711 KINGSWAY DR","KITCHENER","Food, Institutional","Retirement Home"
"1B4C6354-C2D3-4093-B2FD-87B053BCDF14","ZORA SRPSKI DOM CANADIAN SERBIAN RETIREMENT HOME","B - 143 MADISON AVE S","KITCHENER","Food, Institutional","Retirement Home"
"958747B8-DFA1-444B-BBFF-91B933C3183E","LANARK HEIGHTS LONG TERM CARE","46 LANARK CRES","KITCHENER","Food, Institutional","Retirement Home"
"0A6224D6-5CE5-472E-ABDD-9840A9D2CD98","CHARTWELL ELMIRA - RETIREMENT RESIDENCE","8 SNYDER AVE N","ELMIRA","Food, Institutional","Retirement Home"
"293B4FBE-1563-48AC-AFE9-9ACEC2463DC0","MILLWOOD MANOR RETIREMENT LODGE","409 MILL ST","KITCHENER","Food, Institutional","Retirement Home"
"7C27DB75-1495-4605-93CA-9F20B6D817AF","CAMBRIDGE COUNTRY MANOR","3680 SPEEDSVILLE RD","CAMBRIDGE","Food, Institutional","Retirement Home"
"049F6CC0-5783-4ED5-936D-9FF6C869E58F","LANARK PLACE RETIREMENT RESIDENCE","44 LANARK CRES","KITCHENER","Food, Institutional","Retirement Home"
"CB452E36-DD35-4E2B-A68B-AD28C18B137A","MARIAN RESIDENCE RETIREMENT HOME","640 HILLVIEW RD","CAMBRIDGE","Food, Institutional","Retirement Home"
"5724048B-14C2-4190-8E56-B9004BA6AF43","VICTORIA PLACE RETIREMENT RESIDENCE","290 QUEEN ST S","KITCHENER","Food, Institutional","Retirement Home"
"BD3209F6-4CEE-4286-A3E4-BFC570DE9B3A","SUNNYSIDE HOME","247 FRANKLIN ST N","KITCHENER","Food, Institutional","Retirement Home"
"D06D6747-30C5-4EE6-AF4C-C8D7ACCC313A","CONESTOGA LODGE","55 HUGO CRES","KITCHENER","Food, Institutional","Retirement Home"
"700AA903-2DD1-4653-A74C-C95CD74BDF82","BANKSIDE TERRACE","71 BANKSIDE DR","KITCHENER","Food, Institutional","Retirement Home"
"112221F8-1B5F-4C6E-A079-CB6936BC279A","HILLSIDE RETIREMENT RESIDENCE","44 ST CHARLES ST E","MARYHILL","Food, Institutional","Retirement Home"
"23C315E2-D5FF-4218-B79F-CB905C341477","COURT AT LAURELWOOD, THE","605 LAURELWOOD DR","WATERLOO","Food, Institutional","Retirement Home"
"55BC3A93-752C-4907-B5AB-CE2E99F753F8","COBBLE CREEK RESIDENCE INC.","210 WOOLWICH ST","Kitchener","Food, Institutional","Retirement Home"
"C4925A0B-0F6D-43CF-8DD7-D896065810C0","HIGHLAND PLACE","20 FIELDGATE ST","KITCHENER","Food, Institutional","Retirement Home"
"5665C21A-109A-47B6-A95A-DA8A0EB8F925","NITHVIEW HOME","200 BOULLEE ST","NEW HAMBURG","Food, Institutional","Retirement Home"
"127E6084-FCE2-49E6-A77D-DD5742C4C7CC","VILLA NOVA PLACE","611 DUNBAR RD","CAMBRIDGE","Food, Institutional","Retirement Home"
"0F885C71-179E-449E-810B-DE7ABA129877","THE VILLAGE OF WINSTON PARK (NURSING & RETIREMENT HOME)","695 BLOCK LINE RD","KITCHENER","Food, Institutional","Retirement Home"
"EC13B297-3CAE-45D5-8F29-E55B04D45487","STIRLING HEIGHTS","200 STIRLING MACGREGOR DR","CAMBRIDGE","Food, Institutional","Retirement Home"
"08B7B529-3758-430A-842D-E58697FC5F84","VILLAGE MANOR","29 ALBERT ST W","ST. JACOBS","Food, Institutional","Retirement Home"
"17406486-3E9C-458E-A4E5-E7FE63BA6119","DOON VILLAGE RETIREMENT RESIDENCE","868 DOON VILLAGE RD","KITCHENER","Food, Institutional","Retirement Home"
"9F53586F-0B6A-4D1B-AEE0-E8928B138205","BEECHWOOD MANOR - KITCHEN","305 ERB ST W","WATERLOO","Food, Institutional","Retirement Home"
"67E93BF1-FBF3-4E77-9961-F0EE20403658","HERITAGE MEADOWS RETIREMENT HOME","208 HESPELER RD","CAMBRIDGE","Food, Institutional","Retirement Home"
"AE779B7D-3DC4-45AE-857F-F9A7E2387CB5","CHARTWELL QUEEN'S SQUARE RETIREMENT RESIDENCE","10 MELVILLE ST N","CAMBRIDGE","Food, Institutional","Retirement Home"
"79388FF6-2AB6-46FE-A806-FC018D4C3AA1","LUTHER VILLAGE - SUNSHINE CENTRE","139 FATHER DAVID BAUER DR","WATERLOO","Food, Institutional","Retirement Home"
"898FE00E-4C62-4D8B-BB00-23D142975057","PARKWOOD MENNONITE HOME LONG TERM CARE","726 NEW HAMPSHIRE ST","WATERLOO","Food, Institutional","Long Term Care"
"FF8B554C-304C-44F7-864C-24E7DEA9B9A6","BARNSWALLOW PLACE CARE COMMUNITY","120 BARNSWALLOW DR","ELMIRA","Food, Institutional","Long Term Care"
"3B8B5115-897A-4ED1-8FD0-287D044E6E8F","FAIRVIEW MENNONITE HOME","515 LANG'S DR","CAMBRIDGE","Food, Institutional","Long Term Care"
"2E25B9E6-733F-4C76-A09D-29DCC2D665CD","CHARTWELL ELMIRA - LONG TERM CARE HOME","11 HERBERT ST","ELMIRA","Food, Institutional","Long Term Care"
"6018824B-455E-459F-A1AD-30B5FC001877","TWIN OAKS OF MARYHILL","1360 MARYHILL RD","MARYHILL","Food, Institutional","Long Term Care"
"90BF0308-4AB3-49FC-9689-35DA3431A93A","A.R. GOUDIE KITCHENER","369 FREDERICK ST","KITCHENER","Food, Institutional","Long Term Care"
"D6C903A0-3B67-460F-A03D-6E91EA05B2C6","THE VILLAGE AT UNIVERSITY GATES","250 LAURELWOOD DR","WATERLOO","Food, Institutional","Long Term Care"
"6D328D01-E8C4-407A-92E6-9A0F12C0C261","RIVERBEND PLACE","650 CORONATION BLVD","CAMBRIDGE","Food, Institutional","Long Term Care"
"1971004A-F12A-4E0E-BBAD-9E4CAED5583F","HILLTOP MANOR","42 ELLIOTT ST","CAMBRIDGE","Food, Institutional","Long Term Care"
"E9CAF377-B3E3-46EE-B29C-A3DFBB1A2BBD","PINEHAVEN NURSING HOME","229 LEXINGTON RD","WATERLOO","Food, Institutional","Long Term Care"
"A2DB2F32-263D-4DF1-B810-C24A46751C67","SAINT LUKE'S PLACE","1624 FRANKLIN BLVD","CAMBRIDGE","Food, Institutional","Long Term Care"
"86303DF4-890A-4681-BDEA-C8CEC8DBD80F","ST. ANDREW'S TERRACE","255 ST ANDREWS ST","CAMBRIDGE","Food, Institutional","Long Term Care"
